names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,0.318614297622512,,0.11118689861349736,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,10.00695754750495,3.4921300850793653,176,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Land transport and transport via pipelines,,0.3206473495242386,,0.17356644196787893,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,10.070811129168622,5.451331058915184,20,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Construction of buildings,,0.0030188132441794635,,0.0017636960920779773,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.09481412542930129,0.05539372228999957,20,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Other mining and quarrying,,0.00783834599109201,,0.005151124044743285,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.24618479509806923,0.16178520556773637,14,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of basic metals,,0.050370725018453334,,0.016232181565618804,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,1.5820310345705382,0.5098162670119385,13,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Mining of coal and lignite,,0.027308852247480257,,0.02125133844728079,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.8577095477221651,0.6674566811862144,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of other non-metallic mineral products,,0.04430253694387992,,0.028719313527751318,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,1.3914429131156854,0.902008960081853,7,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of coke and refined petroleum products,,0.007172487442825489,,0.003383353428202212,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.22527167765523304,0.10626351164045399,6,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of chemicals and chemical products,,0.7332960819039199,,0.33104280500630573,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,23.03117850052741,10.397308974595735,5,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Mining of metal ores,,0.017138339320552965,,0.008081228573744666,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.5382766413662369,0.2538131900312844,3,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
"Waste collection, treatment, and disposal activities",,0.004000497095650549,,0.0016577584722037512,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.1256466043859776,0.05206646022839209,3,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Civil engineering,,0.03455937201320274,,0.025311987034689606,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,1.0854320449055557,0.7949925084631159,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of wood and products of wood and cork,,0.0007353852565523566,,0.0010555663439373647,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.023096794771273046,0.03315296165670212,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Extraction of crude petroleum and natural gas,,0.01102778035079549,,0.013476283290218438,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.34635774551575715,0.4232597086498036,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.0007980606609135244,,0.00033550412453918314,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.02506528807303314,0.0105374289739319,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
"Crop and animal production, hunting and related service activities",,5.486141958782365,,1.899642825318641,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,172.30736376483875,59.663503019906095,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of other transport equipment,-0.0006531562427032928,0.0006531562427032928,0.0004587449397353631,0.00026845159491834127,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.020514166631541257,0.008431460025345791,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Unknown,0.001867122430976667,0.001867122430976667,0.0014550625950263242,0.0008482763821983572,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.05864211067173904,0.026642450789409487,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of electrical equipment,-0.00011653931483392444,0.00012157529925069244,0.0001211856511542193,6.860783643684047e-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.003818406353717033,0.0021548176330211137,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of food products,0.015990535661267825,0.017102284600403198,0.010803474271752982,0.00441680445203371,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.5371442438039864,0.13872188089781848,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Specialized construction activities,5.1690984825825124e-12,1.854116526978089e-10,3.688394592045625e-10,1.8120253903054884e-10,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,5.8233624517313875e-09,5.691163670649698e-09,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.026395082393742882,,0.00738654274996509,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.829010094487416,0.23199467278554567,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
Manufacture of machinery and equipment,-9.70975672711094e-06,2.5181998816192764e-05,3.345177671356535e-05,1.296817110561023e-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,0,293,68.12542247772217,240,3.183927743372436,0.000790909871262337,0.00040730104923405905,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_
