names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,0.023343006107972346,,0.009130608153440252,10,30,23.909203052520752,120,0.26524835081079984,8.800434022160152,3.4422864932167148,9
"Wholesale trade, except of motor vehicles and motorcycles",,0.0012956807068278103,,0.0005356605027527305,10,30,23.909203052520752,120,0.26524835081079984,0.4884783271478329,0.20194677973127687,5
Mining of coal and lignite,,0.00019952468655531284,,8.68935656340195e-05,10,30,23.909203052520752,120,0.26524835081079984,0.07522183868265883,0.03275932361818913,4
Manufacture of coke and refined petroleum products,,0.0019093601984235809,,0.0008054888134689416,10,30,23.909203052520752,120,0.26524835081079984,0.7198386691518082,0.30367344830109505,4
Manufacture of wood and products of wood and cork,,0.1007441189561735,,0.05953024804056229,10,30,23.909203052520752,120,0.26524835081079984,37.98105384942947,22.443211374771142,2
Manufacture of basic metals,,0.0016462044281504338,,0.0006058376074652307,10,30,23.909203052520752,120,0.26524835081079984,0.620627582836382,0.2284039111320889,1
Land transport and transport via pipelines,,0.016246567033475875,,0.007919405031454345,10,30,23.909203052520752,120,0.26524835081079984,6.12503979150636,2.985656652434085,1
Construction of buildings,,0.00010134603595672864,,4.990954235718943e-05,10,30,23.909203052520752,120,0.26524835081079984,0.03820797967148086,0.018816155578207393,1
Forestry and logging,-0.00010616719410817856,0.00010616719410817856,0.00011461038792517315,6.740912624204568e-05,10,30,23.909203052520752,120,0.26524835081079984,0.04002558122742374,0.02541358920271977,1
Civil engineering,,0.0037019741379934004,,0.001327448585221519,10,30,23.909203052520752,120,0.26524835081079984,1.3956633949569766,0.5004549815913392,1
Manufacture of machinery and equipment,-1.4854770820232204e-06,1.5106112773551754e-06,1.4944342160998146e-06,8.119193382521347e-07,10,30,23.909203052520752,120,0.26524835081079984,0.0005695082637602095,0.0003060977894001204,1
