names,mu,mu_star,sigma,mu_star_conf,index
M1 mix,,5.427724999593571,,2.6130559017445,10
M0 mix,,3.8039416663032006,,1.7379294794592943,10
M1 mix,,6.372070454068312,,1.202443849225724,110
M0 mix,,3.549274999860504,,0.7534502029331336,110
M1 mix,,7.029201189949845,,0.9316808417854892,210
M0 mix,,4.025378921937575,,0.6078957503183908,210
M1 mix,,7.004960091337693,,0.8911696303494168,310
M0 mix,,3.4338814514760667,,0.46291495408162375,310
M1 mix,,6.531730080811718,,0.6916318509263897,410
M0 mix,,3.5786991868258955,,0.4327255086625973,410
M1 mix,,6.749156535442331,,0.6593728747551424,510
M0 mix,,3.5426663396762414,,0.40300313135891497,510
M1 mix,,6.662367759063959,,0.5641843791758117,610
M0 mix,,3.2472106556521703,,0.34531176828545807,610
M1 mix,,7.031800468957027,,0.5701488615113786,710
M0 mix,,3.3891431924034428,,0.3119720197483965,710
M1 mix,,6.446064505690157,,0.4725036794973886,810
M0 mix,,3.418531172711844,,0.2954998032909834,810
M1 mix,,7.30583305806099,,0.45976549098616126,910
M0 mix,,3.452915109746062,,0.2566015085145344,910
