S1,S1_conf,ST,ST_conf,names,index
0.3359531625303948,0.2257907264033338,0.9899178624306709,0.3260176651674896,M0,64
0.04964286420144505,0.1772333989092377,0.3667991840956588,0.12166304742407871,M1,64
0.41347160116035,0.18998666920098015,1.008372679160478,0.23392072808980882,M0,128
-0.02069053466073475,0.1589609547682436,0.377633576211344,0.08979335007728485,M1,128
-0.4272778577743952,0.1313843938564018,0.9858520848687985,0.15388637642847194,M0,256
-0.0007176184151875246,0.10363397906223773,0.36242482679820076,0.06570742421872258,M1,256
-0.3370621277362275,0.08609468419210584,1.004866925318186,0.11880805320498743,M0,512
0.005663573060276937,0.07633804889855847,0.37479441643672584,0.04386604605893409,M1,512
0.3978728972363602,0.06585204051286267,0.9993127738963391,0.07619924695458688,M0,1024
-0.0011335467950642423,0.053837877774878105,0.37743520580898154,0.029415969025256124,M1,1024
